Item ID,Item Description,Item Class,Inactive,Subject to Commission,Description for Sales,Description for Purchases,Sales Price 1,Sales Price 1 Calculation,Sales Price 1 Rounding,Sales Price 1 Rounding #,Sales Price 2,Sales Price 2 Calculation,Sales Price 2 Rounding,Sales Price 2 Rounding #,Sales Price 3,Sales Price 3 Calculation,Sales Price 3 Rounding,Sales Price 3 Rounding #,Sales Price 4,Sales Price 4 Calculation,Sales Price 4 Rounding,Sales Price 4 Rounding #,Sales Price 5,Sales Price 5 Calculation,Sales Price 5 Rounding,Sales Price 5 Rounding #,Sales Price 6,Sales Price 6 Calculation,Sales Price 6 Rounding,Sales Price 6 Rounding #,Sales Price 7,Sales Price 7 Calculation,Sales Price 7 Rounding,Sales Price 7 Rounding #,Sales Price 8,Sales Price 8 Calculation,Sales Price 8 Rounding,Sales Price 8 Rounding #,Sales Price 9,Sales Price 9 Calculation,Sales Price 9 Rounding,Sales Price 9 Rounding #,Sales Price 10,Sales Price 10 Calculation,Sales Price 10 Rounding,Sales Price 10 Rounding #,Qty Discount ID,Item Tax Type,Last Unit Cost,Costing Method,G/L Sales Account,G/L Inventory Account,G/L COGS/Salary Acct,UPC / SKU,Item Type,Location,Stocking U/M,Use Multi-Packs,Purchasing U/M,Purchasing U/M Description,Purch U/M No. of Stocking Units,Purchasing Weight,Purchasing UPC / SCC,Use Purchasing U/M as Default,Sales U/M,Sales U/M Description,Sales U/M No. of Stocking Units,Sales Weight,Sales UPC / SCC,Use Sales U/M as Default,Weight,Minimum Stock,Reorder Quantity,Vendor ID,Buyer ID,FOR CUSTOMER,INV ITEM CODE,CYCLE TIME,DEPT ID,INV ITEM DESC,Master Stock Item ID,Primary Attrib. ID 1,Primary Attrib. Desc. 1,Primary Attrib. ID 2,Primary Attrib. Desc. 2,Primary Attrib. ID 3,Primary Attrib. Desc. 3,Primary Attrib. ID 4,Primary Attrib. Desc. 4,Primary Attrib. ID 5,Primary Attrib. Desc. 5,Primary Attrib. ID 6,Primary Attrib. Desc. 6,Primary Attrib. ID 7,Primary Attrib. Desc. 7,Primary Attrib. ID 8,Primary Attrib. Desc. 8,Primary Attrib. ID 9,Primary Attrib. Desc. 9,Primary Attrib. ID 10,Primary Attrib. Desc. 10,Primary Attrib. ID 11,Primary Attrib. Desc. 11,Primary Attrib. ID 12,Primary Attrib. Desc. 12,Primary Attrib. ID 13,Primary Attrib. Desc. 13,Primary Attrib. ID 14,Primary Attrib. Desc. 14,Primary Attrib. ID 15,Primary Attrib. Desc. 15,Primary Attrib. ID 16,Primary Attrib. Desc. 16,Primary Attrib. ID 17,Primary Attrib. Desc. 17,Primary Attrib. ID 18,Primary Attrib. Desc. 18,Primary Attrib. ID 19,Primary Attrib. Desc. 19,Primary Attrib. ID 20,Primary Attrib. Desc. 20,Secondary Attrib. ID 1,Secondary Attrib. Desc. 1,Secondary Attrib. ID 2,Secondary Attrib. Desc. 2,Secondary Attrib. ID 3,Secondary Attrib. Desc. 3,Secondary Attrib. ID 4,Secondary Attrib. Desc. 4,Secondary Attrib. ID 5,Secondary Attrib. Desc. 5,Secondary Attrib. ID 6,Secondary Attrib. Desc. 6,Secondary Attrib. ID 7,Secondary Attrib. Desc. 7,Secondary Attrib. ID 8,Secondary Attrib. Desc. 8,Secondary Attrib. ID 9,Secondary Attrib. Desc. 9,Secondary Attrib. ID 10,Secondary Attrib. Desc. 10,Secondary Attrib. ID 11,Secondary Attrib. Desc. 11,Secondary Attrib. ID 12,Secondary Attrib. Desc. 12,Secondary Attrib. ID 13,Secondary Attrib. Desc. 13,Secondary Attrib. ID 14,Secondary Attrib. Desc. 14,Secondary Attrib. ID 15,Secondary Attrib. Desc. 15,Secondary Attrib. ID 16,Secondary Attrib. Desc. 16,Secondary Attrib. ID 17,Secondary Attrib. Desc. 17,Secondary Attrib. ID 18,Secondary Attrib. Desc. 18,Secondary Attrib. ID 19,Secondary Attrib. Desc. 19,Secondary Attrib. ID 20,Secondary Attrib. Desc. 20,Item Note,Print Components,Number of Components,Primary Attrib. Name,Substock Primary Attrib. ID,Substock Primary Attrib. Desc.,Secondary Attrib. Name,Substock Second Attrib. ID,Substock Second Attrib. Desc.,Warranty Period,Revision Number,Effective Date,Component Number,Component ID,Quantity Needed,Part Number
FV-128229-7010,INSULATOR CP,3,FALSE,FALSE,128229-7010 INSULATOR CP,,42.74,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,128229-7010,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,1,FP-128229-0010,1,
FV-128229-7010,INSULATOR CP,3,FALSE,FALSE,128229-7010 INSULATOR CP,,42.74,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,128229-7010,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,2,FP-128229-0020,1,
FV-183644-7030,HOUSING CONNECTOR MALE,3,FALSE,FALSE,183644-7030A HOUSING CONNECTOR MALE,,12.84,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183644-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,0,RM-IN-5010G30X-2-VG,0.00848,
FV-183644-7030,HOUSING CONNECTOR MALE,3,FALSE,FALSE,183644-7030A HOUSING CONNECTOR MALE,,12.84,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183644-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,1,FP-183644-0020,1,
FV-183739-7040,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183739-7040A HOUSING CONNECTOR, MALE",,15,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183739-7040,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,0,RM-IN-0CM1011G-2-VG,0.01603,
FV-183739-7040,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183739-7040A HOUSING CONNECTOR, MALE",,15,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183739-7040,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,1,FP-183739-0170,1,
FV-183739-7040,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183739-7040A HOUSING CONNECTOR, MALE",,15,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183739-7040,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,2,FP-183739-0180,1,
FV-183739-7060,"CONTACT HOLDER, OPERATE",3,FALSE,FALSE,"183739-7060 CONTACT HOLDER, OPERATE",,7.2,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183739-7060,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,0,RM-IN-00003300-2-VG,0.00291,
FV-183739-7060,"CONTACT HOLDER, OPERATE",3,FALSE,FALSE,"183739-7060 CONTACT HOLDER, OPERATE",,7.2,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183739-7060,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,1,FP-183739-0160,1,
FV-183740-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183740-7030 HOUSING CONNECTOR, MALE",,14.13,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183740-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,0,RM-IN-0CM1011G-2-VG,0.01353,
FV-183740-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183740-7030 HOUSING CONNECTOR, MALE",,14.13,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183740-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,1,FP-183739-0170,1,
FV-183741-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183741-7030 HOUSING CONNECTOR, MALE",,16.17,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183741-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,0,RM-IN-0CM1011G-2-VG,0.0159,
FV-183741-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183741-7030 HOUSING CONNECTOR, MALE",,16.17,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183741-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,1,FP-183739-0170,1,
FV-183741-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183741-7030 HOUSING CONNECTOR, MALE",,16.17,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183741-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,2,FP-183741-0030,1,
FV-183742-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183742-7030 HOUSING CONNECTOR, MALE",,14.13,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183742-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,0,RM-IN-0CM1011G-2-VG,0.01362,
FV-183742-7030,"HOUSING CONNECTOR, MALE",3,FALSE,FALSE,"183742-7030 HOUSING CONNECTOR, MALE",,14.13,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,183742-7030,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,2,,,,,,,,0,,1,FP-183739-0170,1,
FV-193140-7040,"HOUSING, CONNECTOR, MALE",3,FALSE,FALSE,"193140-7040 HOUSING, CONNECTOR, MALE",,17.02,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,0,NC,0,0,,0,0,0,6121-2141-0,1311-2141-0,5111-2141-0,193140-7040,FV,INJ-VER,EACH,FALSE,,,0,0,,FALSE,,,0,0,,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,3,,,,,,,,0,,0,RM-IN-0CM3001G-2-VG,0.01184,
